mDt,mA,mQ,vDt,vA,vQ,sDt,sA,sQ,kDt,kA,kQ,g
0.46915,239.8778,86.6326,81.8955,26109.835267,71.490417,63.185077,2.380883,0.552061,4284.358131,7.187715,5623.187219,0
0.584831,254.0284,87.3976,11.010015,29161.123993,922.955914,6.777654,1.980254,42.142166,46.147515,4.539171,-2.993006,0
0.633453,269.3278,88.255,11.800109,38263.725547,62.161175,6.453627,2.051226,0.469637,41.80766,4.600109,-1.385322,0
2.649329,258.529,88.3704,25991.830887,35950.372759,1297.225604,70.664632,2.064281,37.215584,4992.657556,4.664802,2005555.720075,0
0.576802,242.1012,89.1816,83.846815,25272.971759,2917.591021,61.009055,2.334574,25.69572,4084.379818,6.764826,0.375742,0
0.911694,248.454,88.4404,18.091368,27847.537084,59.726848,5.381625,1.992199,0.380044,28.430715,4.102177,-0.116248,0
0.45261,258.57,88.9202,8.510277,31530.2859,937.476232,7.717714,1.767935,41.046424,60.788997,2.604513,-2.994743,0
1.77191,240.7392,86.523,11173.222214,25978.136383,476.948271,70.645364,2.107083,55.871594,4990.836966,4.261314,2740616.06525,0
0.931723,265.0428,89.027,457.155916,32469.184168,2089.774671,67.912359,1.792512,30.286426,4732.441084,3.00996,223.615809,0
1.895423,248.568,88.4824,11175.440206,29595.220176,884.22409,70.620876,1.988283,44.07481,4988.524863,3.495148,797326.497711,0
0.35657,243.9738,87.0708,6.066137,29296.732314,71.374987,9.18243,2.14549,0.61442,86.398538,4.887709,-2.354253,0
2.75546,255.148,87.3242,25993.878295,33797.348896,77.684694,70.65432,2.079157,0.740336,4991.684581,4.683816,559215634.17017,0
0.492235,261.1706,86.8956,9.101081,34476.927496,67.301501,7.443017,1.830791,0.30583,56.121832,3.330506,-1.918854,0
0.350474,250.7588,87.3868,6.157111,31528.225423,474.738786,9.004053,2.374379,56.159919,83.070162,7.088888,-2.985522,0
0.548557,262.579,88.0822,10.306345,34530.358159,74.358243,6.891233,1.795289,0.726223,47.758021,2.494773,-2.024885,0
0.373903,247.9242,87.4182,6.397418,30143.692454,472.982509,8.535231,2.306965,56.467552,74.599405,6.576983,-2.985804,0
0.40705,262.9268,87.6306,7.757336,34983.439042,474.746944,8.441927,2.163272,56.127218,72.697421,5.553571,-2.979789,0
0.542324,252.6516,88.4036,10.092929,29946.510617,1289.858707,6.952224,1.842376,37.53128,48.638042,2.785603,-2.996838,0
0.515504,243.857,87.7404,9.567319,24952.307351,473.765408,7.239807,1.899181,56.286691,53.523574,3.029819,-2.976949,0
0.493017,272.5424,88.2702,8.75862,38054.176202,1697.021592,7.353942,1.91795,33.165334,54.862877,4.416844,-2.998459,0
0.329671,270.0702,87.25,5.36761,33358.996472,60.0219,9.208229,1.730231,0.256106,85.948335,2.480549,-2.288655,0
0.473265,244.4894,87.8884,82.067928,25385.510288,1698.187145,62.98771,2.357772,33.158659,4266.250481,6.832321,6.970742,0
1.821636,245.4878,87.9618,11174.181292,27640.769851,887.536741,70.634882,2.000273,43.878039,4989.846858,3.562711,791416.945491,0
0.526349,253.2054,88.4104,9.769388,29008.941611,1289.574372,7.077678,1.857953,37.542727,50.426809,2.941188,-2.996934,0
2.705443,254.4032,87.4404,25992.908496,34196.46063,78.732448,70.6592,2.097731,0.714291,4992.144975,4.764851,544440397.72835,0
0.245574,254.1704,86.587,3.325712,31356.358964,66.384431,10.579677,2.031133,0.278178,110.984705,4.507544,-2.713923,0
0.536941,267.9146,87.7956,10.410023,35132.622907,883.671821,7.200845,1.727153,44.181082,52.382733,2.838441,-2.992314,0
0.522893,252.1622,88.3082,9.661984,28830.230291,1289.234413,7.075282,1.859443,37.565442,50.401734,2.979312,-2.997001,0
0.471616,253.3766,87.007,8.574954,30364.892772,485.059351,7.497662,2.069349,54.433392,56.850239,5.154922,-2.981296,0
0.510696,262.029,87.1314,9.992334,35031.869759,67.978134,7.302012,2.255781,0.439003,53.956685,6.054297,-1.769334,0
0.56084,265.332,87.1594,11.140611,36639.422176,67.649992,6.940502,2.133563,0.5309,48.439568,5.247765,-1.604982,0
0.424837,243.4034,88.9596,7.297863,29283.851068,1284.912768,8.318473,1.907357,37.69993,70.514725,3.212496,-2.997629,0
0.452572,261.1526,88.146,8.407697,33295.788113,929.125084,7.676253,1.659345,41.663844,60.039249,1.813166,-2.994838,0
0.658427,264.3024,88.6178,451.231531,30693.210554,2090.774123,69.278054,1.810846,30.29105,4861.150954,3.069095,223.564411,0
0.47832,261.019,88.3184,8.718644,33641.321039,73.523021,7.435781,1.776625,0.735526,55.771158,2.399773,-2.173552,0
0.359482,253.7054,87.0496,6.426599,31152.517411,473.30114,8.69513,2.023277,56.454253,77.035986,4.067043,-2.985244,0
0.431299,264.6032,88.3046,7.894588,34549.87175,928.494219,7.872451,1.602747,41.691296,63.188016,1.557924,-2.995215,0
2.72109,253.1754,87.6844,25993.185222,29489.669835,1287.157197,70.657782,1.960389,37.700082,4992.01119,3.665495,2037002.914414,0
0.414897,250.138,87.2608,7.63014,28684.032956,64.014783,8.245701,1.906734,0.440988,69.405565,3.310557,-1.971329,0
0.595265,269.0268,88.2686,11.282227,38891.899282,467.506854,6.574254,1.832763,57.346717,43.26526,3.144808,-2.973056,0
0.750354,263.6604,87.3862,14.833867,34031.260672,66.35785,5.752799,1.897844,0.371864,32.847157,3.846035,-1.208656,0
0.479212,247.272,87.3502,8.893666,27316.568816,473.27676,7.470989,1.925914,56.417183,57.188406,3.162564,-2.978746,0
0.701404,264.1818,88.146,13.8766,34324.853949,879.623484,6.005603,1.927594,44.45136,35.849875,4.119577,-2.990331,0
0.471993,270.391,88.1294,8.224378,36514.778919,1700.323056,7.569438,1.980462,33.07877,58.694707,4.910054,-2.998557,0
0.354164,245.9878,87.0428,6.213725,28086.931251,60.652568,8.980824,1.97649,0.374058,82.457847,3.564245,-2.103072,0
0.468518,255.2666,87.5292,8.52116,29844.907124,1333.167947,7.629563,2.023186,36.19319,59.048872,4.905341,-2.997465,0
0.350907,252.1586,87.5414,6.157119,31841.516246,474.304686,9.003516,2.335924,56.217834,83.063655,6.846791,-2.985497,0
0.469184,244.759,88.4372,8.637403,30084.948919,880.049256,7.804596,1.891939,44.391564,61.829828,3.091849,-2.993755,0
0.482516,272.446,88.2194,8.498636,37989.202284,1696.920464,7.43712,1.919462,33.171859,56.223396,4.433492,-2.998515,0
0.478117,268.673,87.5256,8.530522,35820.240871,930.788545,7.488726,1.985919,41.607814,57.055412,4.863353,-2.994956,0
0.63977,259.3356,88.0322,12.313648,32689.018573,59.635963,6.717043,1.787069,0.210564,45.290981,2.842181,-0.941158,0
0.356182,251.317,87.4312,6.499384,31748.134111,71.463667,8.89238,2.032074,0.433407,80.573733,3.724911,-2.308736,0
0.964563,250.3018,88.995,19.347487,29863.604717,869.862975,5.223743,1.955839,45.119267,26.616346,3.776843,-2.985349,0
0.408347,256.604,88.7718,7.456077,29494.315184,936.737725,8.067548,1.797098,41.108815,66.194553,2.923932,-2.995616,0
0.500408,244.216,87.7886,9.285446,25253.176144,473.43431,7.398465,1.912935,56.339664,55.980728,3.115931,-2.977312,0
0.320485,253.4774,87.6782,5.290907,30617.129489,473.104645,9.186878,1.867014,56.413076,86.098486,2.748856,-2.988857,0
0.493068,263.0088,87.2844,9.105189,34572.999523,474.209517,7.437802,1.819459,56.254879,56.061251,3.256403,-2.978226,0
0.759827,252.1962,88.3012,14.94491,29613.336106,62.312079,6.029834,1.891233,0.380826,36.091739,3.458497,-0.751323,0
0.446125,264.6846,87.696,7.833198,34096.533123,1334.616384,7.573433,2.083249,36.122172,57.763874,5.552012,-2.997907,0
0.573329,260.5606,87.763,10.567538,32248.783128,61.284031,7.088592,1.757641,0.243317,50.708619,2.734453,-1.403029,0
2.702293,251.576,87.8918,25993.004945,28871.758624,1292.659293,70.658866,1.937475,37.445177,4992.113427,3.329093,2019712.451994,0
0.365355,248.3438,87.8768,5.972329,31872.368002,472.402022,8.914614,1.839175,56.51933,81.610161,2.509098,-2.986477,0
2.735713,260.7916,87.8234,25993.695272,34029.919769,480.915412,70.655433,1.941691,55.042534,4991.789533,3.736579,14592031.517598,0
0.452459,261.2734,88.1472,8.407768,33304.134652,929.066732,7.676272,1.657143,41.667602,60.039395,1.806617,-2.994837,0
0.403986,260.7764,86.986,6.805675,33869.319603,66.677804,8.261545,1.868138,0.27149,69.616725,3.571318,-2.243487,0
0.554776,266.9126,87.8766,10.606646,34717.595761,884.765372,7.063263,1.743678,44.092922,50.558191,2.929364,-2.992303,0
0.405036,260.4296,88.4394,6.932314,30044.404644,2101.057128,8.05149,1.842931,30.080661,65.800387,3.363063,-2.999251,0
0.691725,269.514,88.3818,13.211159,36719.262204,877.852429,6.006526,1.861595,44.564275,35.870128,3.815067,-2.991197,0
0.438139,248.0778,86.4306,81.320824,26853.638947,69.906784,63.845701,2.349773,0.666939,4345.98358,6.886023,5882.084018,0
0.474675,245.2672,87.9576,82.067151,25862.376204,1697.677002,62.988137,2.325802,33.168625,4266.292037,6.573294,6.976643,0
