mDt,mA,mQ,vDt,vA,vQ,sDt,sA,sQ,kDt,kA,kQ,g,attack
0.46915,239.8778,86.6326,81.8955,26109.835267,71.490417,63.185077,2.380883,0.552061,4284.358131,7.187715,5623.187219,0,0
0.584831,254.0284,87.3976,11.010015,29161.123993,922.955914,6.777654,1.980254,42.142166,46.147515,4.539171,-2.993006,0,0
0.268317,264.2912,87.1216,3.82496,33316.64,57.23881,10.279212,1.843589,0.194673,106.64006,3.226792,-2.5104,0,1
0.633453,269.3278,88.255,11.800109,38263.725547,62.161175,6.453627,2.051226,0.469637,41.80766,4.600109,-1.385322,0,0
0.366849,239.5904,88.3532,6.841095,25327.97,894.4,8.733525,2.131011,43.34211,77.658714,4.469999,-2.995281,0,1
337.3298,617.6011,417.4073,397.3879,32948.887,397.3879,397.3879,337.3298,337.3298,4060.933,337.3298,2999.9065,1,1
337.3298,637.6204,417.4073,357.34918,35931.773,397.3879,357.34918,337.3298,337.3298,397.3879,337.3298,337.3298,1,1
2.649329,258.529,88.3704,25991.830887,35950.372759,1297.225604,70.664632,2.064281,37.215584,4992.657556,4.664802,2005555.720075,0,0
337.3298,637.6204,437.42667,357.34918,38073.848,1218.1823,357.34918,337.3298,377.36853,397.3879,337.3298,337.3298,1,1
0.392358,267.7104,88.0282,7.103614,38145.758,465.8962,8.574194,1.790811,57.672188,75.14679,2.703817,-2.981833,0,1
337.3298,597.58167,437.42667,797.7754,28624.703,2079.0154,417.4073,337.3298,377.36853,5202.0376,337.3298,677.6592,1,1
337.3298,617.6011,417.4073,357.34918,32308.268,457.44604,357.34918,337.3298,357.34918,397.3879,337.3298,337.3298,1,1
0.576802,242.1012,89.1816,83.846815,25272.971759,2917.591021,61.009055,2.334574,25.69572,4084.379818,6.764826,0.375742,0,0
1.213803,257.4678,86.9606,4170.6924,29668.328,73.719444,70.57986,1.890943,0.529836,4984.644,3.372919,15964216.0,0,1
0.911694,248.454,88.4404,18.091368,27847.537084,59.726848,5.381625,1.992199,0.380044,28.430715,4.102177,-0.116248,0,0
0.45261,258.57,88.9202,8.510277,31530.2859,937.476232,7.717714,1.767935,41.046424,60.788997,2.604513,-2.994743,0,0
1.77191,240.7392,86.523,11173.222214,25978.136383,476.948271,70.645364,2.107083,55.871594,4990.836966,4.261314,2740616.06525,0,0
0.492771,286.5184,87.0976,9.768979,37235.363,60.493275,7.425496,1.724975,0.441918,55.854042,3.817727,-1.465169,1,1
337.3298,637.6204,437.42667,337.3298,41316.984,797.7754,357.34918,337.3298,397.3879,437.42667,337.3298,337.3298,1,1
0.931723,265.0428,89.027,457.155916,32469.184168,2089.774671,67.912359,1.792512,30.286426,4732.441084,3.00996,223.615809,0,0
0.410333,255.2346,88.8836,5.662899,28976.246,937.39764,8.23521,2.14149,40.55297,68.17234,5.047403,-2.997403,1,1
1.895423,248.568,88.4824,11175.440206,29595.220176,884.22409,70.620876,1.988283,44.07481,4988.524863,3.495148,797326.497711,0,0
0.35657,243.9738,87.0708,6.066137,29296.732314,71.374987,9.18243,2.14549,0.61442,86.398538,4.887709,-2.354253,0,0
2.75546,255.148,87.3242,25993.878295,33797.348896,77.684694,70.65432,2.079157,0.740336,4991.684581,4.683816,559215634.17017,0,0
0.492235,261.1706,86.8956,9.101081,34476.927496,67.301501,7.443017,1.830791,0.30583,56.121832,3.330506,-1.918854,0,0
0.350474,250.7588,87.3868,6.157111,31528.225423,474.738786,9.004053,2.374379,56.159919,83.070162,7.088888,-2.985522,0,0
0.548557,262.579,88.0822,10.306345,34530.358159,74.358243,6.891233,1.795289,0.726223,47.758021,2.494773,-2.024885,0,0
0.373903,247.9242,87.4182,6.397418,30143.692454,472.982509,8.535231,2.306965,56.467552,74.599405,6.576983,-2.985804,0,0
2.743282,255.1382,87.3882,25993.555,34586.777,77.1959,70.65587,2.071324,0.728879,4991.8306,4.572633,566322240.0,0,1
0.40705,262.9268,87.6306,7.757336,34983.439042,474.746944,8.441927,2.163272,56.127218,72.697421,5.553571,-2.979789,0,0
337.3298,637.6204,417.4073,357.34918,36532.355,397.3879,357.34918,337.3298,337.3298,397.3879,337.3298,337.3298,1,1
337.3298,617.6011,437.42667,357.34918,35931.773,417.4073,357.34918,337.3298,337.3298,397.3879,337.3298,337.3298,1,1
0.463557,244.0686,87.7126,8.52049,25247.523,473.7172,7.761044,1.913146,56.297943,61.771873,3.103571,-2.979045,0,1
337.3298,617.6011,437.42667,357.34918,31327.318,1258.221,357.34918,337.3298,377.36853,397.3879,337.3298,337.3298,1,1
0.309211,244.5008,86.792,5.389213,27515.473,882.2763,9.58755,2.045453,44.37617,94.805,3.825907,-2.996351,0,1
0.542324,252.6516,88.4036,10.092929,29946.510617,1289.858707,6.952224,1.842376,37.53128,48.638042,2.785603,-2.996838,0,0
0.515504,243.857,87.7404,9.567319,24952.307351,473.765408,7.239807,1.899181,56.286691,53.523574,3.029819,-2.976949,0,0
0.493017,272.5424,88.2702,8.75862,38054.176202,1697.021592,7.353942,1.91795,33.165334,54.862877,4.416844,-2.998459,0,0
0.329671,270.0702,87.25,5.36761,33358.996472,60.0219,9.208229,1.730231,0.256106,85.948335,2.480549,-2.288655,0,0
0.473265,244.4894,87.8884,82.067928,25385.510288,1698.187145,62.98771,2.357772,33.158659,4266.250481,6.832321,6.970742,0,0
1.821636,245.4878,87.9618,11174.181292,27640.769851,887.536741,70.634882,2.000273,43.878039,4989.846858,3.562711,791416.945491,0,0
337.3298,617.6011,437.42667,337.3298,31907.88,817.7948,357.34918,337.3298,397.3879,437.42667,337.3298,337.3298,1,1
0.526349,253.2054,88.4104,9.769388,29008.941611,1289.574372,7.077678,1.857953,37.542727,50.426809,2.941188,-2.996934,0,0
0.550299,267.2108,88.1146,10.206457,36801.934,71.10146,6.902264,1.804151,0.708651,47.963455,2.920881,-1.949849,0,1
2.705443,254.4032,87.4404,25992.908496,34196.46063,78.732448,70.6592,2.097731,0.714291,4992.144975,4.764851,544440397.72835,0,0
0.245574,254.1704,86.587,3.325712,31356.358964,66.384431,10.579677,2.031133,0.278178,110.984705,4.507544,-2.713923,0,0
0.536941,267.9146,87.7956,10.410023,35132.622907,883.671821,7.200845,1.727153,44.181082,52.382733,2.838441,-2.992314,0,0
0.522893,252.1622,88.3082,9.661984,28830.230291,1289.234413,7.075282,1.859443,37.565442,50.401734,2.979312,-2.997001,0,0
1.200001,258.0838,86.8028,4170.5674,30002.275,74.445114,70.58367,1.893505,0.579217,4985.004,3.301973,15654695.0,0,1
0.471616,253.3766,87.007,8.574954,30364.892772,485.059351,7.497662,2.069349,54.433392,56.850239,5.154922,-2.981296,0,0
0.521253,298.5628,89.3576,9.909751,44441.418,2084.595,7.134961,1.525617,30.378475,51.408768,2.627811,-2.99877,1,1
0.510696,262.029,87.1314,9.992334,35031.869759,67.978134,7.302012,2.255781,0.439003,53.956685,6.054297,-1.769334,0,0
337.3298,617.6011,437.42667,357.34918,36432.258,1258.221,357.34918,337.3298,377.36853,397.3879,337.3298,337.3298,1,1
0.56084,265.332,87.1594,11.140611,36639.422176,67.649992,6.940502,2.133563,0.5309,48.439568,5.247765,-1.604982,0,0
