mDt,mA,mQ,vDt,vA,vQ,sDt,sA,sQ,kDt,kA,kQ,g,attack
0.360856,248.8398,87.7588,6.663187,30442.801336,71.624223,8.834394,2.066294,0.496486,79.484593,4.008716,-2.286133,0,0
0.531202,253.7944,88.4112,9.800575,29874.502529,1289.189315,7.049183,1.826051,37.559813,50.049128,2.747029,-2.996934,0,0
1.782531,242.6194,87.5246,11173.371567,26826.760544,886.010995,70.643651,2.040208,44.03043,4990.675072,3.89614,794161.629392,0,0
0.406041,240.8434,89.1816,7.026983,27719.288876,1288.858621,8.49721,1.930113,37.509779,73.791058,3.379,-2.997717,0,0
0.249315,249.3014,88.2282,9.445476,27890.219,497.91602,6.977533,1.813368,51.995506,54.314777,4.868793,-2.678185,1,1
0.417215,244.4946,88.9448,7.15134,29767.581571,1283.289753,8.436164,1.890032,37.772234,72.582885,3.101856,-2.997653,0,0
0.932019,265.2184,89.0388,457.155374,32537.536701,2089.865695,67.912438,1.794435,30.283696,4732.44854,3.010277,223.595889,0,0
0.423351,244.938,88.949,7.314359,30062.915756,1283.011999,8.384939,1.883512,37.784205,71.669453,3.051696,-2.997573,0,0
0.018915,271.0394,86.8894,4.825063,34346.98,58.032726,9.04598,1.407453,-0.042146,88.7598,2.021769,-1.97925,0,1
0.701473,282.022,87.4422,7.853014,33623.46,485.16916,8.684516,1.640127,54.753647,71.84426,1.522743,-3.281766,1,1
0.382611,243.2392,86.9968,6.541991,28915.941183,69.85119,8.696476,2.109048,0.607767,77.352564,4.499794,-2.29519,0,0
0.236174,267.5152,88.2686,10.048241,33990.53,466.5749,6.863239,1.451761,57.245724,52.40232,2.579004,-2.672859,0,1
0.122025,243.98,88.5648,7.01498,29477.326,1284.1545,8.085323,1.596122,37.427654,71.97321,2.853697,-2.697578,0,1
0.536091,267.2066,88.5842,10.348017,33975.368716,466.25931,7.163546,1.753229,57.546598,52.105447,2.88411,-2.972857,0,0
0.931567,265.8274,89.048,457.156127,32780.440809,2089.872096,67.912334,1.792228,30.282959,4732.438683,2.975121,223.594776,0,0
2.68115,248.091,87.8442,25992.652844,27130.950319,1293.519926,70.660693,1.982053,37.411624,4992.285823,3.5706,2017040.70822,0,0
