N,F0,PER,d0,v0,collision,attack
7,-2,0.6693945,6.7089205,66,0,1
3,-2,0.77,6.045,23,0,0
4,-4,0.3,5.483,70,0,0
7,-5,0.01,5.506,22,0,0
7,-4,0.620924,4.397212,21,0,1
3,-6,0.55943584,8.406857,49,1,1
5,-5,0.472497,6.606802,64,1,1
9,-6,0.14,4.323,59,0,0
4,-2,0.42,6.363,81,0,0
10,-3,0.53,4.681,84,1,1
9,-6,0.52,7.523,32,1,0
8,-8,0.6820297,6.574934,47,0,1
5,-7,0.40564728,5.8961506,17,0,1
6,-3,0.19,8.478,12,0,1
7,-6,0.82,4.671,14,1,0
3,-4,0.54,6.71,25,0,1
6,-8,0.33300018,7.919203,58,1,1
7,-7,0.43985367,4.8091917,43,1,1
5,-8,0.7333565,5.5306873,73,0,1
8,-4,0.15,4.207,83,0,0
6,-8,0.27337456,4.24296,86,1,1
7,-3,0.9684906,5.843856,19,0,1
10,-8,0.09,6.167,73,1,0
5,-8,0.09,7.16,24,0,0
8,-4,0.04944229,8.15584,63,1,1
4,-7,0.89880466,4.7796335,23,1,1
3,-2,0.58,5.253,18,0,1
8,-3,0.12599754,8.142687,46,1,1
4,-6,0.45,8.452,66,0,0
6,-4,0.4237728,4.35071,51,1,1
8,-3,0.9201441,4.5637865,12,0,1
4,-4,0.02,6.071,86,0,1
7,-4,0.5556288,4.771426,76,0,1
9,-8,0.83,6.907,53,1,0
4,-3,0.15,6.889,88,0,1
10,-4,0.92,6.778,19,1,1
10,-6,0.05,5.03,44,1,0
6,-6,0.42306137,7.1538477,73,1,1
6,-6,0.22,4.848,26,0,0
6,-5,0.48,6.942,71,1,0
7,-8,0.21,8.46,20,0,0
7,-5,0.37,4.228,18,0,0
5,-5,0.31,6.253,35,0,0
4,-2,0.74,6.998,74,1,0
3,-5,0.12,7.123,31,0,0
7,-7,0.78254986,8.985813,73,0,1
3,-7,0.03,5.092,12,0,1
10,-7,0.89,5.398,52,1,1
7,-5,0.6735487,8.653347,60,0,1
10,-4,0.18,5.694,12,0,0
3,-7,0.43744564,8.151001,81,1,1
8,-6,0.27106476,8.059578,30,1,1
7,-4,0.97924423,5.566493,31,0,1
7,-1,0.9460983,7.091467,61,0,1
10,-5,0.54,7.841,83,1,1
3,-7,0.78993034,7.220351,80,0,1
6,-2,0.51,8.715,43,0,0
3,-7,0.5525093,4.9269724,33,1,1
6,-5,0.65,5.942,21,0,0
9,-4,0.8,4.647,56,1,0
8,-6,0.3,4.238,67,0,0
4,-6,0.44,5.964,40,0,0
8,-2,0.8298149,7.532031,26,0,1
6,-5,0.43,5.516,88,0,0
3,-4,0.80087185,8.276369,82,0,1
7,-7,0.34012604,4.604203,57,1,1
8,-6,0.09,7.896,15,0,0
3,-8,0.57,8.879,70,0,0
4,-2,0.9646807,8.391916,54,0,1
4,-3,0.24,4.18,23,0,0
3,-5,0.95,7.674,35,1,0
8,-4,0.63107586,4.3713245,37,0,1
5,-4,0.71,6.003,30,0,0
3,-4,0.5,5.377,20,0,1
6,-3,0.49,4.135,25,0,1
3,-3,0.39,4.286,21,0,1
6,-2,0.65,5.164,48,0,0
5,-4,0.42640305,8.722786,88,1,1
7,-8,0.21121597,6.506057,86,1,1
3,-5,0.5,7.864,12,0,1
7,-5,0.3114004,5.0025215,74,1,1
6,-5,0.36,5.708,17,0,1
8,-5,0.4,8.04,52,0,0
3,-8,0.85577106,5.961212,85,1,1
9,-5,0.17,8.233,47,0,0
7,-1,0.83,6.409,83,1,0
8,-7,0.15,6.957,46,0,0
10,-8,0.11,8.437,35,1,0
5,-3,0.81490135,6.657531,66,1,1
6,-6,0.02,5.526,17,0,1
9,-1,0.85,8.846,69,1,0
10,-7,0.5,5.004,20,1,0
7,-2,0.96,6.497,30,1,0
8,-3,0.05,6.303,44,0,0
6,-2,0.8,5.807,29,0,0
6,-4,0.72053623,7.6527147,86,0,1
4,-1,0.53758144,7.8726196,57,1,1
3,-8,0.44,7.843,82,1,0
5,-6,0.58,6.259,29,0,0
8,-5,0.8319855,5.8099957,16,0,1
4,-3,0.09,8.142,52,0,1
10,-1,0.61,7.799,41,1,0
4,-6,0.45,7.816,46,0,0
8,-5,0.83646965,6.997257,20,0,1
5,-5,0.9,4.465,80,1,0
10,-2,0.89,7.862,77,1,1
3,-4,0.25,5.307,60,0,0
4,-6,0.2,7.214,56,0,1
6,-2,0.34,8.919,80,0,0
9,-5,0.82,8.431,83,1,0
9,-3,0.2,4.886,62,0,0
5,-6,0.3,5.162,11,0,1
10,-2,0.61,8.27,71,1,1
5,-8,0.83,6.919,29,1,0
7,-4,0.15,7.9,18,0,0
3,-3,0.13,6.683,10,0,1
4,-7,0.74240494,6.6124077,59,0,1
