N,F0,PER,d0,v0,collision,attack
4,-2,0.22,6.76,57,0,0
6,-8,0.03,6.45,76,1,1
8,-6,0.13,9.169,78,1,1
8,-4,0.04000002,5.496,48,0,1
3,-3,0.55,6.165,76,1,0
10,-4,0.26,6.151,86,1,1
3,-6,0.04,8.532,45,0,0
8,-8,0.62,8.495,74,0,1
4,-4,0.43,8.223,68,1,1
6,-4,0.82,4.605,18,1,0
9,-5,0.12,6.449,37,0,0
3,-3,0.26,8.364,42,0,1
5,-6,0.86,5.55,68,1,0
4,-8,0.95,4.886,18,0,1
5,-4,0.62,8.204,61,1,0
8,-4,0.22,5.673,43,0,0
8,-8,0.58,6.103,48,0,1
5,-2,0.38,8.434,15,0,0
6,-2,0.29,8.995,68,0,0
8,-4,0.15,4.207,83,0,0
4,-6,0.38,8.1,87,0,0
7,-2,0.34,5.535,86,0,0
2,-8,0.81,7.565,52,0,1
5,-3,0.56,5.83,89,0,0
8,-2,0.83,6.542,62,0,1
4,-4,0.8,8.98,51,1,0
3,-7,0.35,4.345,34,0,0
6,-8,0.31,5.73,44,1,1
7,-1,0.74,4.017,47,0,0
4,-3,0.13,5.853,31,0,1
8,-2,0.28,8.385,76,1,1
8,-6,0.110000014,5.71,72,1,1
10,-6,0.25,7.443,55,1,0
6,-3,0.63,8.466,88,0,0
2,-4,0.42000002,9.328,72,1,1
7,-8,0.05,6.57,49,0,0
10,-6,0.050000012,8.813,16,1,1
3,-3,0.36,7.414,11,0,1
6,-2,0.09,6.291,23,0,0
8,-2,0.68,4.858,90,0,1
4,-4,0.99,8.082,44,0,1
3,-5,0.92,5.281,34,1,0
6,-6,0.68,4.206,31,0,0
4,-8,0.45,7.084,88,0,0
5,-7,0.21,6.635,28,0,0
8,-4,0.47000003,8.677,12,1,1
10,-6,0.2,4.91,65,1,0
5,-4,0.85,5.632,54,1,0
7,-2,0.86,8.139,76,1,0
6,-4,0.91999996,4.798,24,0,1
6,-6,0.52,5.022,26,0,1
10,-8,0.28,5.633,50,1,1
8,-2,0.84,7.027,84,0,1
2,-4,0.94,8.121,38,0,1
8,-7,0.23,6.252,81,0,0
8,-2,0.25,4.863,58,1,1
8,-4,0.26,5.251,52,1,1
5,-6,0.13,4.977,76,0,0
4,-2,0.76,5.024,58,0,1
4,-7,0.04,8.795,12,0,1
8,-6,0.28,6.447,46,1,1
3,-7,0.62,8.351,54,0,0
8,-3,0.06,8.116,48,0,0
3,-7,0.14,6.858,44,0,1
7,-2,0.56,8.866,21,0,1
8,-8,0.61,4.806,46,0,1
3,-6,0.01,8.93,65,0,1
9,-5,0.38,6.754,72,1,0
