N,F0,PER,d0,v0,collision,attack
3,-5,0.95,7.674,35,1,0
10,-2,0.13,6.985,21,1,1
10,-1,0.55,4.057,40,1,0
5,-3,0.86,10.149,62,1,1
9,-2,0.81,8.887,70,1,1
6,-8,0.08,8.709,27,0,0
9,-3,0.8,10.484,25,1,1
4,-6,0.86,5.975,39,1,0
9,-8,0.55,7.064,60,1,0
8,-6,0.53,8.932,57,1,0
5,-2,0.44,6.647,73,0,0
8,-3,0.71,10.294,21,0,1
9,-2,0.58,6.121,12,1,1
9,1,0.87,10.195,64,1,1
9,-2,0.07,4.117,72,0,0
8,-1,0.69,6.358,18,0,1
8,-3,0.3,7.238,54,0,0
10,-6,0.57,7.625,70,1,1
8,0,0.69,10.995,70,0,1
8,-5,0.97,9.789,74,1,1
6,-5,0.5,8.146,72,0,0
8,-3,0.45,9.42,70,0,1
4,-1,0.88,7.48,37,1,1
10,-4,0.08,6.65,48,1,0
5,-2,0.02,6.887,69,0,0
4,-2,0.93,7.071,75,1,0
6,-2,0.07,8.165,77,0,0
4,-8,0.91,8.812,64,1,0
10,-2,0.45,10.639,49,1,1
5,-8,0.58,6.546,79,0,0
9,-1,0.19,5.268,22,0,0
4,-3,0.72,7.518,79,1,1
7,-3,0.85,10.051,25,1,1
10,-8,0.11,8.488,85,1,0
4,-5,0.09,6.605,52,0,1
10,-6,0.81,6.858,58,1,1
6,-6,0.21,7.655,72,0,1
8,-1,0.7,6.676,48,1,1
8,-3,0.98,8.625,25,1,0
9,1,0.25,6.326,83,1,1
10,0,0.61,10.27,71,1,1
10,-5,0.15,8.579,22,0,1
7,-5,0.04,8.743,72,0,0
5,-3,0.27,7.362,88,0,0
8,-5,0.21,4.955,34,0,0
3,-3,0.9,8.951,62,1,0
9,-4,0.08,4.872,72,0,0
10,-5,0.05,4.127,79,1,0
5,-8,0.14,4.184,13,0,0
6,0,0.9,8.696,57,1,1
5,-4,0.28,8.818,27,0,0
6,-7,0.44,4.745,71,1,0
9,-4,0.43,9.580999,15,0,1
3,-7,0.88,7.93,60,1,0
10,-6,0.03,9.073,58,1,1
6,-5,0.52,8.389,71,0,1
10,-2,0.3,7.691,29,1,0
3,-5,0.7,6.466,22,0,0
7,-4,0.98,10.891,85,1,1
3,-8,0.85,7.772,12,0,0
4,-4,0.05,7.501,38,0,1
7,0,0.56,8.866,23,0,1
6,-8,0.17,6.639,69,0,0
4,-5,0.87,10.891,50,1,1
6,-7,0.95,4.008,66,1,0
3,-3,0.95,5.521,45,1,0
8,-4,0.28,8.442,61,0,0
9,1,0.98,7.476,56,1,1
3,-2,0.99,7.405,40,1,1
8,0,0.55,6.381,25,0,1
10,-3,0.8,6.836,70,1,1
6,-4,0.95,10.586,23,1,1
7,-1,0.01,8.378,50,0,0
7,-8,0.38,6.32,73,0,0
9,-8,0.81,4.879,15,1,0
7,-5,0.9,10.322,76,1,1
5,-1,0.1,8.63,69,0,0
8,-3,0.95,6.323,42,1,0
5,-2,0.28,8.172,15,0,0
8,1,0.72,9.84,83,0,1
10,-2,0.29,8.92,71,1,1
6,-3,0.04,7.586,64,0,0
9,-5,0.07,8.076,84,0,1
7,-8,0.76,4.972,23,0,0
4,-6,0.77,6.504,48,1,0
3,-2,0.88,5.692,66,1,0
10,1,0.54,9.892,22,1,1
7,1,0.87,10.122,59,1,1
6,-8,0.38,4.853,46,0,0
9,-3,0.41,10.496,26,0,1
9,-7,0.52,8.967,63,1,0
8,-1,0.97,6.862,79,1,1
9,-3,0.71,8.421,24,1,0
5,-8,0.83,6.919,29,1,0
5,-6,0.19,8.548,77,0,0
8,-5,0.9,8.783,50,1,0
5,-3,0.81,6.308,22,0,0
6,-2,0.6,10.794,85,1,1
6,-3,0.53,4.325,40,0,0
5,-2,0.13,6.434,53,0,0
10,-8,0.3,7.377,40,1,0
3,-3,0.47,5.207,13,0,0
4,-7,0.13,7.853,88,0,0
7,0,0.89,7.634,80,1,1
3,-4,0.07,8.625,30,0,1
9,-6,0.76,5.704,65,1,0
6,-4,0.7,8.248,70,1,1
7,-3,0.63,6.761,88,1,1
10,0,0.95,6.703,42,1,1
9,-6,0.83,6.158,62,1,0
9,-4,0.37,6.649,45,0,0
5,0,0.81,8.979,68,1,1
7,0,0.58,10.955,80,0,1
3,-4,0.15,7.316,49,0,0
5,-2,0.58,4.749,18,0,1
9,-3,0.73,5.692,31,1,0
10,-3,0.4,7.092,42,1,0
5,-4,0.66,10.728,72,0,1
9,-3,0.36,9.25,36,1,1
8,-5,0.84,6.5,69,1,0
8,-7,0.37,4.59,21,0,0
4,-6,0.8,8.656,52,1,0
10,-6,0.98,4.452,23,1,0
3,0,0.05,7.259,59,0,1
9,-5,0.96,9.774,51,1,1
5,-4,0.62,8.204,61,1,0
3,-5,0.02,5.24,30,0,0
9,-2,0.39,7.034,84,1,0
8,-7,0.36,5.26,47,0,0
5,-4,0.65,6.92,58,1,1
3,-6,0.24,4.413,86,0,0
9,-1,0.57,10.806,38,0,1
8,-3,0.64,8.353,84,1,0
10,-3,0.18,7.78,18,1,0
4,-8,0.31,8.375,62,0,0
