s_os2,m_Nc,v_Nc,v_phi,m_htBleed,s_htBleed,m_W31,attack
0.283,9049.96,20.397,0.119,391.925,-0.349,38.959,0
0.223,9050.03,20.052,0.114,391.925,-0.349,38.961,0
0.197,9050.35,20.301,0.114,391.925,-0.349,38.961,0
0.242,9050.48,21.566,0.122,391.975,-0.26,38.962,0
0.193,9050.41,21.87,0.108,391.975,-0.26,38.966,0
0.153,9050.54,23.794,0.11,391.975,-0.26,38.964,0
0.102,9050.81,26.184,0.106,392.025,-0.348,38.962,0
0.139,9050.74,22.664,0.101,392.05,-0.411,38.959,0
0.13,9050.85,22.182,0.111,392.05,-0.411,38.959,0
0.177,9050.77,22.287,0.112,392.025,-0.386,38.957,0
0.082,9050.71,22.596,0.102,392.05,-0.411,38.957,0
0.237,9050.98,22.811,0.099,392.025,-0.386,38.954,0
0.192,9051.2,23.149,0.099,392.0,-0.368,38.949,0
0.162,9051.12,23.247,0.094,392.025,-0.433,38.951,0
0.241,9050.95,25.076,0.089,392.0,-0.368,38.943,0
0.163,9050.77,24.382,0.106,391.975,-0.564,38.948,0
0.223,9050.91,23.774,0.11,392.0,-0.572,38.945,0
0.204,9050.97,23.578,0.109,391.975,-0.495,38.94,0
0.178,9050.78,21.034,0.109,391.95,-0.421,38.942,0
0.102,9050.88,20.522,0.108,392.0,-0.21,38.938,0
0.078,9050.62,21.42,0.111,391.95,-0.113,38.935,0
0.117,9050.98,22.789,0.12,391.875,-0.263,38.937,0
0.168,9051.03,22.769,0.116,391.925,-0.175,38.935,0
0.097,9051.04,22.766,0.114,391.9,-0.159,38.937,0
0.123,9050.91,21.235,0.116,391.925,0.113,38.929,0
0.07,9051.0,21.543,0.115,391.9,0.159,38.924,0
0.112,9051.06,21.202,0.115,391.875,0.207,38.929,0
0.065,9051.05,21.355,0.113,391.875,0.207,38.929,0
0.023,9051.26,22.242,0.116,391.85,-0.029,38.927,0
-0.042,9051.04,22.338,0.119,391.875,-0.048,38.927,0
-0.124,9050.71,23.698,0.116,391.875,-0.048,38.923,0
-0.113,9050.38,24.908,0.121,391.925,0.146,38.929,0
-0.045,9050.29,25.509,0.123,391.925,0.146,38.92,0
-0.075,9050.07,24.395,0.121,391.95,0.098,38.917,0
-0.075,9049.85,22.807,0.106,391.925,0.148,38.912,0
-0.075,9049.94,22.58,0.106,391.925,0.148,38.904,0
-0.139,9049.83,20.773,0.109,391.9,0.197,38.91,0
-0.129,9049.47,17.842,0.115,391.9,0.379,38.907,0
-0.164,9049.51,17.579,0.117,391.9,0.379,38.906,0
-0.109,9049.62,18.375,0.113,391.9,0.379,38.903,0
-0.109,9049.69,18.414,0.114,391.875,0.424,38.907,0
-0.016,9049.59,17.278,0.116,391.925,0.465,38.911,0
-0.112,9049.24,16.38,0.116,391.95,0.401,38.907,0
-0.167,9049.24,16.381,0.114,392.0,0.39,38.899,0
-0.234,9049.4,15.17,0.105,392.025,0.354,38.904,0
-0.188,9049.28,15.385,0.105,392.025,0.354,38.909,0
-0.165,9049.04,16.088,0.104,392.075,0.433,38.907,0
-0.161,9048.89,16.167,0.096,392.05,0.502,38.908,0
-0.198,9048.93,16.39,0.089,392.05,0.502,38.904,0
-0.191,9048.87,15.974,0.09,392.1,0.408,38.902,0
-0.171,9048.96,16.435,0.092,392.05,0.43,38.9,0
-0.151,9048.98,16.175,0.101,392.075,0.406,38.901,0
-0.236,9048.81,12.692,0.083,392.2,1.064,38.902,0
-0.263,9048.69,12.533,0.085,392.225,0.987,38.897,0
-0.21,9048.71,12.593,0.08,392.275,0.866,38.898,0
-0.207,9048.66,12.204,0.081,392.3,0.796,38.903,0
-0.298,9048.8,12.244,0.083,392.325,0.806,38.906,0
-0.423,9048.82,11.962,0.074,392.5,0.557,38.905,0
-0.471,9049.02,10.897,0.077,392.525,0.495,38.906,0
-0.381,9048.93,9.286,0.083,392.575,0.676,38.9,0
-0.385,9049.1,8.483,0.08,392.6,0.617,38.903,0
-0.45,9049.23,7.713,0.082,392.625,0.559,38.901,0
-0.531,9049.12,9.056,0.086,392.675,0.452,38.897,0
-0.395,9048.98,10.18,0.096,392.7,0.5,38.899,0
-0.377,9048.8,9.422,0.085,392.775,0.342,38.892,0
-0.381,9048.78,9.308,0.087,392.775,0.457,38.891,0
-0.475,9048.8,9.881,0.086,392.825,0.354,38.887,0
-0.554,9048.59,10.55,0.086,392.9,0.342,38.88,0
-0.429,9048.42,11.375,0.087,392.9,0.2,38.861,0
-0.373,9048.43,11.334,0.087,392.9,0.2,38.857,0
-0.279,9048.28,12.887,0.093,392.875,0.251,38.856,0
-0.28,9048.14,14.277,0.092,392.925,0.15,38.853,0
-0.23,9048.24,14.144,0.078,392.95,0.251,38.854,0
-0.287,9048.23,14.199,0.084,392.975,0.195,38.855,0
-0.245,9048.45,15.229,0.088,393.075,0.19,38.859,0
-0.236,9048.33,15.085,0.116,393.05,0.225,38.854,0
-0.145,9048.34,14.336,0.103,393.15,0.162,38.848,0
-0.105,9048.25,14.413,0.105,393.15,0.162,38.839,0
-0.152,9048.06,15.632,0.108,393.075,-0.368,38.833,0
-0.138,9047.91,16.885,0.11,393.05,-0.309,38.833,0
-0.231,9048.06,18.827,0.11,393.05,-0.309,38.826,0
-0.138,9047.9,18.793,0.118,393.075,-0.35,38.817,0
-0.049,9047.81,18.427,0.121,393.125,-0.454,38.808,0
0.037,9047.62,18.475,0.133,393.15,-0.302,38.806,0
0.121,9047.57,17.702,0.138,393.175,-0.355,38.795,0
0.028,9047.44,17.856,0.14,393.2,-0.249,38.788,0
