s_os2,m_Nc,v_Nc,v_phi,m_htBleed,s_htBleed,m_W31,attack
0.283,9049.960,20.397,0.119,391.925,-0.349,38.959,0
0.223,9050.030,20.052,0.114,391.925,-0.349,38.961,0
0.197,9050.350,20.301,0.114,391.925,-0.349,38.961,0
0.242,9050.480,21.566,0.122,391.975,-0.260,38.962,0
0.193,9050.410,21.870,0.108,391.975,-0.260,38.966,0
0.153,9050.540,23.794,0.110,391.975,-0.260,38.964,0
0.102,9050.810,26.184,0.106,392.025,-0.348,38.962,0
0.139,9050.740,22.664,0.101,392.050,-0.411,38.959,0
0.130,9050.850,22.182,0.111,392.050,-0.411,38.959,0
0.177,9050.770,22.287,0.112,392.025,-0.386,38.957,0
0.082,9050.710,22.596,0.102,392.050,-0.411,38.957,0
0.237,9050.980,22.811,0.099,392.025,-0.386,38.954,0
0.192,9051.200,23.149,0.099,392.000,-0.368,38.949,0
0.162,9051.120,23.247,0.094,392.025,-0.433,38.951,0
0.241,9050.950,25.076,0.089,392.000,-0.368,38.943,0
0.163,9050.770,24.382,0.106,391.975,-0.564,38.948,0
0.223,9050.910,23.774,0.110,392.000,-0.572,38.945,0
0.204,9050.970,23.578,0.109,391.975,-0.495,38.940,0
0.178,9050.780,21.034,0.109,391.950,-0.421,38.942,0
0.102,9050.880,20.522,0.108,392.000,-0.210,38.938,0
0.078,9050.620,21.420,0.111,391.950,-0.113,38.935,0
0.117,9050.980,22.789,0.120,391.875,-0.263,38.937,0
0.168,9051.030,22.769,0.116,391.925,-0.175,38.935,0
0.097,9051.040,22.766,0.114,391.900,-0.159,38.937,0
0.123,9050.910,21.235,0.116,391.925,0.113,38.929,0
0.070,9051.000,21.543,0.115,391.900,0.159,38.924,0
0.112,9051.060,21.202,0.115,391.875,0.207,38.929,0
0.065,9051.050,21.355,0.113,391.875,0.207,38.929,0
0.023,9051.260,22.242,0.116,391.850,-0.029,38.927,0
-0.042,9051.040,22.338,0.119,391.875,-0.048,38.927,0
-0.124,9050.710,23.698,0.116,391.875,-0.048,38.923,0
-0.113,9050.380,24.908,0.121,391.925,0.146,38.929,0
-0.045,9050.290,25.509,0.123,391.925,0.146,38.920,0
-0.075,9050.070,24.395,0.121,391.950,0.098,38.917,0
-0.075,9049.850,22.807,0.106,391.925,0.148,38.912,0
-0.075,9049.940,22.580,0.106,391.925,0.148,38.904,0
-0.139,9049.830,20.773,0.109,391.900,0.197,38.910,0
-0.129,9049.470,17.842,0.115,391.900,0.379,38.907,0
-0.164,9049.510,17.579,0.117,391.900,0.379,38.906,0
-0.109,9049.620,18.375,0.113,391.900,0.379,38.903,0
-0.109,9049.690,18.414,0.114,391.875,0.424,38.907,0
-0.016,9049.590,17.278,0.116,391.925,0.465,38.911,0
-0.112,9049.240,16.380,0.116,391.950,0.401,38.907,0
-0.167,9049.240,16.381,0.114,392.000,0.390,38.899,0
-0.234,9049.400,15.170,0.105,392.025,0.354,38.904,0
-0.188,9049.280,15.385,0.105,392.025,0.354,38.909,0
-0.165,9049.040,16.088,0.104,392.075,0.433,38.907,0
-0.161,9048.890,16.167,0.096,392.050,0.502,38.908,0
-0.198,9048.930,16.390,0.089,392.050,0.502,38.904,0
-0.191,9048.870,15.974,0.090,392.100,0.408,38.902,0
-0.171,9048.960,16.435,0.092,392.050,0.430,38.900,0
-0.151,9048.980,16.175,0.101,392.075,0.406,38.901,0
-0.236,9048.810,12.692,0.083,392.200,1.064,38.902,0
-0.263,9048.690,12.533,0.085,392.225,0.987,38.897,0
-0.210,9048.710,12.593,0.080,392.275,0.866,38.898,0
-0.207,9048.660,12.204,0.081,392.300,0.796,38.903,0
-0.298,9048.800,12.244,0.083,392.325,0.806,38.906,0
-0.423,9048.820,11.962,0.074,392.500,0.557,38.905,0
-0.471,9049.020,10.897,0.077,392.525,0.495,38.906,0
-0.381,9048.930,9.286,0.083,392.575,0.676,38.900,0
-0.385,9049.100,8.483,0.080,392.600,0.617,38.903,0
-0.450,9049.230,7.713,0.082,392.625,0.559,38.901,0
-0.531,9049.120,9.056,0.086,392.675,0.452,38.897,0
-0.395,9048.980,10.180,0.096,392.700,0.500,38.899,0
-0.377,9048.800,9.422,0.085,392.775,0.342,38.892,0
-0.381,9048.780,9.308,0.087,392.775,0.457,38.891,0
-0.475,9048.800,9.881,0.086,392.825,0.354,38.887,0
-0.554,9048.590,10.550,0.086,392.900,0.342,38.880,0
-0.429,9048.420,11.375,0.087,392.900,0.200,38.861,0
-0.373,9048.430,11.334,0.087,392.900,0.200,38.857,0
-0.279,9048.280,12.887,0.093,392.875,0.251,38.856,0
-0.280,9048.140,14.277,0.092,392.925,0.150,38.853,0
-0.230,9048.240,14.144,0.078,392.950,0.251,38.854,0
-0.287,9048.230,14.199,0.084,392.975,0.195,38.855,0
-0.245,9048.450,15.229,0.088,393.075,0.190,38.859,0
-0.236,9048.330,15.085,0.116,393.050,0.225,38.854,0
-0.145,9048.340,14.336,0.103,393.150,0.162,38.848,0
-0.105,9048.250,14.413,0.105,393.150,0.162,38.839,0
-0.152,9048.060,15.632,0.108,393.075,-0.368,38.833,0
-0.138,9047.910,16.885,0.110,393.050,-0.309,38.833,0
-0.231,9048.060,18.827,0.110,393.050,-0.309,38.826,0
-0.138,9047.900,18.793,0.118,393.075,-0.350,38.817,0
-0.049,9047.810,18.427,0.121,393.125,-0.454,38.808,0
0.037,9047.620,18.475,0.133,393.150,-0.302,38.806,0
0.121,9047.570,17.702,0.138,393.175,-0.355,38.795,0
0.028,9047.440,17.856,0.140,393.200,-0.249,38.788,0
0.040,9047.520,18.555,0.141,393.225,-0.094,38.787,0
0.025,9047.480,18.295,0.144,393.250,-0.157,38.784,0
0.025,9047.530,18.236,0.149,393.250,-0.157,38.777,0
0.036,9047.630,17.209,0.171,393.325,0.134,38.771,0
-0.032,9047.680,16.762,0.182,393.350,0.068,38.769,0
0.023,9047.570,16.037,0.194,393.400,-0.011,38.758,0
-0.025,9047.390,17.798,0.191,393.375,0.056,38.756,0
0.045,9047.240,18.169,0.214,393.450,-0.005,38.750,0
0.039,9047.100,18.827,0.218,393.475,-0.072,38.747,0
0.045,9046.590,19.214,0.194,393.475,-0.072,38.744,0
0.151,9046.840,20.866,0.173,393.525,-0.131,38.737,0
0.167,9046.770,21.354,0.191,393.625,0.036,38.735,0
0.185,9046.650,22.656,0.176,393.625,0.036,38.738,0
0.138,9046.470,23.010,0.178,393.650,0.021,38.727,0
0.117,9046.270,22.894,0.180,393.700,-0.010,38.720,0
0.137,9046.390,22.144,0.185,393.725,-0.077,38.719,0
0.183,9046.530,21.249,0.167,393.775,0.055,38.713,0
0.163,9046.450,20.997,0.150,393.850,0.015,38.704,0
0.213,9046.430,21.054,0.147,393.875,-0.024,38.701,0
0.187,9045.700,20.727,0.145,394.000,0.202,38.685,0
0.182,9045.570,21.200,0.145,394.125,0.385,38.678,0
0.106,9045.330,21.033,0.146,394.200,0.292,38.673,0
0.024,9045.290,20.792,0.152,394.250,0.207,38.665,0
-0.028,9045.210,20.782,0.153,394.250,0.207,38.661,0
-0.028,9045.350,21.720,0.146,394.375,0.333,38.655,0
-0.167,9044.760,20.311,0.160,394.675,0.411,38.628,0
-0.167,9044.630,20.106,0.164,394.675,0.411,38.625,0
-0.503,9053.470,12.845,0.090,391.225,0.867,39.049,0
-0.610,9053.340,14.005,0.093,391.225,0.867,39.050,0
-0.543,9053.330,13.987,0.099,391.250,0.778,39.045,0
-0.621,9053.310,13.780,0.102,391.275,0.692,39.043,0
-0.407,9053.340,14.445,0.101,391.225,0.744,39.032,0
-0.484,9053.240,15.951,0.098,391.250,0.661,39.030,0
-0.549,9053.170,16.321,0.103,391.250,0.661,39.033,0
-0.513,9052.990,15.512,0.100,391.250,0.661,39.030,0
-0.502,9053.060,15.726,0.099,391.250,0.661,39.022,0
-0.305,9053.210,15.449,0.084,391.275,0.579,39.028,0
-0.336,9053.080,17.030,0.080,391.250,0.563,39.032,0
-0.316,9053.090,17.004,0.083,391.225,0.647,39.034,0
-0.316,9053.110,16.977,0.087,391.225,0.647,39.039,0
-0.243,9052.980,17.518,0.084,391.200,0.734,39.041,0
-0.204,9053.160,17.837,0.090,391.250,0.661,39.044,0
-0.204,9053.200,18.100,0.091,391.250,0.661,39.039,0
-0.139,9053.090,18.584,0.090,391.250,0.661,39.045,0
-0.167,9053.240,20.895,0.092,391.225,0.647,39.039,0
-0.143,9053.290,21.162,0.092,391.225,0.647,39.037,0
0.036,9053.160,20.939,0.088,391.275,0.579,39.040,0
0.084,9053.180,20.983,0.087,391.325,0.528,39.040,0
0.097,9052.990,21.311,0.089,391.400,0.410,39.042,0
0.119,9053.080,21.068,0.091,391.425,0.332,39.036,0
0.215,9053.520,20.435,0.098,391.425,0.332,39.038,0
0.262,9053.560,20.851,0.101,391.450,0.386,39.043,0
0.232,9053.460,20.474,0.097,391.400,-0.159,39.041,0
0.288,9053.370,20.372,0.100,391.425,-0.239,39.035,0
0.360,9053.220,19.799,0.098,391.450,-0.320,39.034,0
0.488,9053.450,18.530,0.112,391.450,-0.320,39.036,0
0.474,9053.430,18.535,0.112,391.425,-0.239,39.040,0
0.507,9053.660,17.289,0.107,391.400,-0.159,39.042,0
0.380,9053.010,17.196,0.112,391.400,-0.030,39.044,0
0.487,9053.250,16.343,0.110,391.450,0.005,39.049,0
0.499,9053.230,16.128,0.111,391.425,0.088,39.045,0
0.499,9053.370,15.729,0.107,391.500,0.161,39.045,0
0.670,9053.170,16.860,0.109,391.450,0.163,39.045,0
0.577,9052.970,17.071,0.106,391.450,0.163,39.038,0
0.508,9053.510,15.887,0.115,391.475,0.081,39.027,0
0.394,9053.600,14.901,0.113,391.475,-0.049,39.019,0
0.346,9053.690,14.340,0.107,391.475,-0.049,39.011,0
0.340,9053.420,12.888,0.105,391.475,-0.049,39.014,0
0.313,9053.590,12.280,0.105,391.450,-0.078,39.013,0
0.244,9053.630,12.559,0.107,391.475,-0.154,39.015,0
0.199,9053.810,14.272,0.108,391.500,-0.105,39.018,0
0.199,9054.060,14.289,0.107,391.500,-0.105,39.020,0
0.160,9054.100,14.410,0.106,391.475,-0.030,39.015,0
0.160,9054.300,13.309,0.109,391.425,0.121,39.015,0
0.221,9054.680,16.755,0.106,391.425,0.121,39.020,0
0.199,9054.470,17.325,0.100,391.450,0.154,39.024,0
0.348,9054.390,16.389,0.098,391.400,0.197,39.021,0
0.306,9054.430,16.263,0.096,391.375,0.273,39.023,0
0.317,9054.380,15.539,0.096,391.450,0.154,39.016,0
0.248,9054.390,15.553,0.089,391.450,0.154,39.022,0
0.077,9054.300,15.777,0.090,391.500,0.000,39.015,0
0.077,9054.510,14.778,0.073,391.525,0.049,39.011,0
0.010,9054.590,14.359,0.070,391.525,0.049,39.013,0
0.052,9054.870,14.506,0.067,391.525,0.049,39.012,0
-0.030,9055.020,14.182,0.067,391.500,0.000,39.013,0
-0.062,9054.960,14.118,0.064,391.525,-0.081,39.013,0
-0.078,9054.920,14.235,0.063,391.500,-0.161,39.007,0
-0.078,9055.090,15.017,0.063,391.525,-0.086,39.008,0
-0.137,9055.340,12.817,0.062,391.550,-0.172,39.006,0
-0.095,9055.560,12.784,0.061,391.500,-0.161,39.008,0
-0.095,9055.850,12.340,0.066,391.525,-0.245,39.007,0
0.033,9056.030,11.786,0.055,391.400,-0.444,39.002,0
0.071,9056.060,11.846,0.055,391.400,-0.444,39.000,0
0.073,9056.230,13.243,0.047,391.425,-0.515,38.994,0
0.020,9056.310,13.201,0.049,391.375,-0.562,38.988,0
-0.042,9056.360,13.148,0.052,391.450,-0.542,38.995,0
-0.081,9056.560,13.106,0.052,391.450,-0.542,38.997,0
-0.099,9056.850,12.482,0.056,391.525,-0.539,38.993,0
-0.059,9056.870,12.551,0.058,391.550,-0.467,38.989,0
-0.043,9056.600,12.698,0.059,391.500,-0.462,38.986,0
-0.043,9056.490,12.610,0.063,391.550,-0.467,38.989,0
-0.114,9056.680,12.164,0.065,391.550,-0.467,38.983,0
-0.198,9056.230,10.371,0.065,391.475,-0.310,38.972,0
-0.304,9056.450,9.200,0.067,391.500,-0.383,38.958,0
-0.289,9056.530,9.057,0.066,391.550,-0.467,38.963,0
-0.263,9056.750,10.918,0.065,391.600,-0.119,38.961,0
-0.226,9056.800,10.905,0.065,391.600,-0.119,38.961,0
-0.123,9056.980,11.054,0.059,391.675,-0.191,38.958,0
-0.123,9057.360,10.540,0.058,391.700,-0.201,38.956,0
-0.209,9057.490,10.314,0.064,391.700,-0.201,38.956,0
-0.248,9057.590,10.594,0.064,391.725,-0.268,38.951,0
-0.211,9057.620,10.413,0.063,391.750,-0.281,38.940,0
-0.311,9057.910,11.222,0.065,391.800,-0.162,38.938,0
-0.330,9058.030,11.258,0.063,391.800,-0.162,38.936,0
-0.390,9057.930,11.302,0.073,391.850,-0.200,38.940,0
-0.376,9057.870,11.099,0.081,391.850,-0.200,38.941,0
-0.311,9058.000,12.662,0.081,391.950,-0.145,38.943,0
-0.392,9058.410,13.932,0.082,391.975,-0.186,38.942,0
-0.407,9058.460,13.845,0.087,392.050,0.225,38.944,0
-0.409,9058.470,13.831,0.087,392.100,0.128,38.938,0
-0.408,9058.300,13.204,0.084,392.075,0.164,38.939,0
-0.366,9058.550,12.262,0.077,392.150,0.129,38.939,0
-0.266,9058.550,12.258,0.072,392.150,0.129,38.936,0
-0.170,9058.780,15.141,0.075,392.175,0.098,38.937,0
-0.075,9058.940,15.818,0.073,392.150,0.162,38.938,0
-0.027,9059.120,17.534,0.074,392.200,0.143,38.929,0
-0.061,9059.120,17.534,0.075,392.175,0.207,38.932,0
-0.200,9059.570,15.804,0.096,392.200,0.183,38.928,0
-0.277,9060.050,18.010,0.092,392.225,0.162,38.923,0
-0.277,9060.110,17.777,0.092,392.275,0.077,38.923,0
-0.348,9060.350,17.737,0.090,392.350,0.250,38.924,0
-0.334,9060.830,19.367,0.091,392.375,0.273,38.924,0
-0.250,9060.950,19.422,0.106,392.400,0.197,38.924,0
-0.189,9061.230,19.095,0.105,392.450,0.154,38.925,0
-0.285,9061.360,18.052,0.105,392.475,0.077,38.927,0
-0.285,9061.290,18.922,0.105,392.525,0.049,38.926,0
-0.373,9061.230,18.311,0.106,392.425,-0.303,38.919,0
-0.428,9061.300,18.157,0.114,392.450,-0.237,38.923,0
-0.452,9061.450,18.584,0.115,392.475,-0.192,38.924,0
-0.435,9061.580,18.143,0.114,392.450,-0.121,38.927,0
-0.391,9062.060,21.905,0.116,392.475,-0.192,38.911,0
-0.318,9062.360,21.318,0.125,392.525,-0.336,38.911,0
-0.346,9062.650,21.028,0.124,392.500,-0.264,38.911,0
-0.443,9062.800,19.842,0.124,392.575,-0.305,38.909,0
-0.427,9062.950,19.670,0.152,392.575,-0.305,38.910,0
-0.389,9062.920,19.556,0.142,392.550,-0.339,38.911,0
-0.320,9063.070,19.700,0.142,392.550,-0.339,38.910,0
-0.259,9063.380,18.882,0.139,392.525,-0.336,38.908,0
-0.298,9063.570,18.432,0.136,392.525,-0.336,38.904,0
-0.294,9063.480,18.238,0.136,392.425,-0.474,38.899,0
-0.315,9063.690,18.586,0.148,392.500,-0.243,38.892,0
-0.377,9063.770,17.918,0.152,392.475,-0.179,38.897,0
-0.325,9064.440,19.971,0.135,392.525,-0.261,38.894,0
-0.292,9064.690,19.350,0.156,392.525,-0.261,38.890,0
-0.302,9065.060,19.560,0.149,392.550,-0.252,38.891,0
-0.363,9065.030,19.335,0.136,392.575,-0.318,38.884,0
-0.468,9065.150,19.694,0.150,392.600,-0.384,38.884,0
-0.498,9065.220,20.234,0.153,392.600,-0.384,38.882,0
-0.429,9065.480,19.771,0.143,392.625,-0.452,38.878,0
-0.441,9065.730,19.870,0.138,392.675,-0.514,38.876,0
-0.415,9065.900,20.002,0.125,392.725,-0.582,38.874,0
-0.337,9066.390,22.200,0.133,392.750,-0.586,38.861,0
-0.299,9066.700,22.685,0.135,392.800,-0.604,38.851,0
-0.289,9066.800,22.965,0.123,392.825,-0.618,38.850,0
-0.276,9067.140,22.995,0.119,392.850,-0.635,38.843,0
-0.313,9067.720,17.713,0.127,392.975,-0.615,38.828,0
-0.245,9068.060,16.442,0.127,393.025,-0.714,38.822,0
-0.068,9069.350,22.348,0.130,393.175,-0.426,38.803,0
-0.041,9069.550,22.108,0.145,393.175,-0.426,38.794,0
-0.012,9071.180,28.257,0.171,393.350,-0.302,38.778,0
0.014,9071.470,28.021,0.172,393.450,-0.334,38.775,0
-0.038,9072.030,27.385,0.182,393.525,-0.489,38.762,0
-0.093,9072.270,27.744,0.213,393.600,-0.504,38.749,0
-0.065,9072.720,30.141,0.213,393.650,-0.602,38.749,0
-0.150,9073.270,30.957,0.204,393.725,0.220,38.748,0
-0.113,9073.550,32.901,0.206,393.725,0.220,38.746,0
-0.125,9074.040,32.894,0.181,393.775,0.124,38.738,0
-0.065,9074.990,33.164,0.172,393.850,0.120,38.721,0
-0.165,9075.960,39.750,0.193,393.875,0.078,38.692,0
-0.112,9076.250,38.476,0.189,393.925,-0.020,38.684,0
-0.070,9076.520,37.393,0.189,393.975,-0.119,38.683,0
-0.103,9076.940,38.921,0.194,394.000,-0.162,38.680,0
-0.176,9077.340,39.384,0.202,394.050,-0.263,38.678,0
-0.108,9077.840,35.237,0.194,394.125,0.111,38.670,0
-0.077,9078.750,37.625,0.200,394.200,-0.043,38.658,0
-0.069,9079.130,37.613,0.214,394.250,-0.139,38.655,0
0.031,9079.290,37.959,0.219,394.275,-0.198,38.652,0
-0.036,9079.720,38.541,0.213,394.300,-0.257,38.644,0
0.044,9080.670,39.458,0.219,394.375,-0.229,38.636,0
-0.031,9081.670,41.524,0.212,394.475,-0.300,38.617,0
-0.037,9082.130,37.906,0.211,394.525,-0.349,38.612,0
0.021,9082.710,36.522,0.222,394.550,-0.414,38.614,0
0.044,9083.300,38.586,0.224,394.600,-0.469,38.610,0
-0.022,9084.840,44.612,0.253,394.750,-0.120,38.594,0
0.050,9085.170,44.910,0.221,394.850,-0.129,38.585,0
-0.026,9085.320,43.635,0.212,394.925,0.072,38.581,0
-0.007,9086.190,43.510,0.208,395.000,0.000,38.564,0
0.082,9086.860,46.291,0.200,394.975,0.047,38.556,0
-0.292,9055.010,15.761,0.068,391.725,0.085,38.980,0
-0.244,9055.100,16.443,0.075,391.750,0.021,38.981,0
-0.191,9055.080,16.292,0.076,391.750,0.021,38.982,0
-0.183,9055.370,16.867,0.081,391.725,0.044,38.982,0
-0.207,9055.370,16.870,0.083,391.725,0.044,38.987,0
-0.145,9055.410,16.851,0.082,391.750,-0.022,38.995,0
-0.232,9055.880,19.098,0.079,391.750,-0.022,38.989,0
-0.233,9055.960,18.706,0.079,391.750,-0.022,38.989,0
-0.291,9055.830,18.408,0.079,391.750,-0.022,38.990,0
-0.150,9055.710,18.205,0.075,391.725,0.044,38.991,0
-0.134,9055.780,17.858,0.075,391.750,-0.022,38.997,0
-0.092,9056.080,17.413,0.084,391.725,-0.004,39.003,0
-0.090,9056.280,19.456,0.087,391.750,0.080,38.999,0
-0.109,9056.230,19.518,0.081,391.750,0.080,38.997,0
-0.123,9056.390,18.870,0.081,391.900,0.199,38.998,0
-0.112,9056.570,18.440,0.080,391.875,0.248,38.993,0
-0.112,9056.570,18.434,0.079,391.925,0.389,38.990,0
-0.209,9056.700,17.687,0.091,391.900,0.197,38.991,0
-0.294,9056.810,15.955,0.091,391.975,0.233,38.991,0
-0.315,9057.080,16.660,0.088,392.000,0.176,38.984,0
-0.377,9057.030,16.418,0.084,392.025,0.119,38.980,0
-0.442,9056.890,16.961,0.084,392.050,0.063,38.982,0
-0.515,9057.220,15.243,0.078,392.100,-0.036,38.990,0
-0.562,9057.590,12.892,0.077,392.125,-0.078,38.993,0
-0.479,9057.640,13.111,0.074,392.125,-0.078,38.995,0
-0.429,9057.680,12.948,0.074,392.125,-0.078,38.999,0
-0.388,9057.820,13.306,0.080,392.125,-0.078,38.997,0
-0.388,9058.200,14.440,0.081,392.125,-0.078,39.000,0
-0.388,9058.390,15.174,0.080,392.150,-0.120,38.998,0
-0.302,9058.400,15.112,0.086,392.125,-0.062,38.992,0
-0.302,9058.580,15.268,0.113,392.125,-0.062,38.990,0
-0.210,9059.100,18.476,0.110,392.075,-0.143,38.993,0
