s_os2,m_Nc,v_Nc,v_phi,m_htBleed,s_htBleed,m_W31,RUL_binary,attack
0.283266,9049.96,20.3969,0.118564,391.925,-0.348636,38.959,0,0
0.222834,9050.03,20.0517,0.114467,391.925,-0.348636,38.9608,0,0
0.196831,9050.35,20.3006,0.113978,391.925,-0.348636,38.9607,0,0
0.241618,9050.48,21.5659,0.122384,391.975,-0.25976,38.9617,0,0
0.192618,9050.41,21.8696,0.107587,391.975,-0.25976,38.9662,0,0
0.153254,9050.54,23.794,0.109757,391.975,-0.25976,38.9635,0,0
0.102368,9050.81,26.1837,0.106261,392.025,-0.34831,38.9622,0,0
0.138885,9050.74,22.6635,0.101063,392.05,-0.410842,38.9588,0,0
0.129696,9050.85,22.1823,0.110615,392.05,-0.410842,38.959,0,0
0.177201,9050.77,22.287,0.111584,392.025,-0.386152,38.9565,0,0
0.081708,9050.71,22.5956,0.101564,392.05,-0.410842,38.9565,0,0
0.237105,9050.98,22.8114,0.099215,392.025,-0.386152,38.9543,0,0
0.192273,9051.2,23.1486,0.098845,392.0,-0.367745,38.9488,0,0
0.162347,9051.12,23.2467,0.094128,392.025,-0.432803,38.9505,0,0
0.240902,9050.95,25.0764,0.089476,392.0,-0.367745,38.9433,0,0
0.162717,9050.77,24.3816,0.105751,391.975,-0.563794,38.948,0,0
0.22338,9050.91,23.7744,0.109961,392.0,-0.572468,38.9445,0,0
0.203873,9050.97,23.5778,0.108767,391.975,-0.495498,38.9395,0,0
0.178338,9050.78,21.0335,0.108814,391.95,-0.42101,38.9423,0,0
0.102202,9050.88,20.5222,0.10768,392.0,-0.209631,38.938,0,0
0.07835,9050.62,21.4199,0.110705,391.95,-0.112681,38.935,0,0
0.117419,9050.98,22.789,0.120294,391.875,-0.262828,38.9368,0,0
0.167854,9051.03,22.7692,0.116268,391.925,-0.174825,38.9353,0,0
0.09682,9051.04,22.7661,0.113585,391.9,-0.158875,38.937,0,0
0.123266,9050.91,21.2353,0.115513,391.925,0.11296,38.9288,0,0
0.070381,9051.0,21.5427,0.115306,391.9,0.158763,38.9243,0,0
0.112122,9051.06,21.202,0.114954,391.875,0.20728,38.9293,0,0
0.06461,9051.05,21.3553,0.113223,391.875,0.20728,38.929,0,0
0.022738,9051.26,22.2416,0.116138,391.85,-0.028668,38.927,0,0
-0.042111,9051.04,22.3382,0.118673,391.875,-0.048151,38.927,0,0
-0.12438,9050.71,23.698,0.116205,391.875,-0.048151,38.9225,0,0
-0.11296,9050.38,24.9077,0.120524,391.925,0.146005,38.9287,0,0
-0.044804,9050.29,25.5093,0.122981,391.925,0.146005,38.9198,0,0
-0.07503,9050.07,24.3948,0.121305,391.95,0.097937,38.917,0,0
-0.07503,9049.85,22.8067,0.105713,391.925,0.148014,38.9123,0,0
-0.07503,9049.94,22.5804,0.106492,391.925,0.148014,38.904,0,0
-0.139256,9049.83,20.7731,0.108754,391.9,0.196534,38.9095,0,0
-0.128635,9049.47,17.8418,0.115282,391.9,0.378741,38.907,0,0
-0.163982,9049.51,17.5786,0.117094,391.9,0.378741,38.906,0,0
-0.108706,9049.62,18.3751,0.112673,391.9,0.378741,38.9033,0,0
-0.108706,9049.69,18.4136,0.113567,391.875,0.424323,38.9065,0,0
-0.015815,9049.59,17.2778,0.116059,391.925,0.464715,38.9105,0,0
-0.111517,9049.24,16.3796,0.115578,391.95,0.401254,38.9068,0,0
